BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),SiteEnergyUse(kBtu),TotalGHGEmissions,number_of_activities,ratio_parking,ratio_building,ratio_dominant_use,building_age,supericie_by_building,superficie_by_activity
NonResidential,Hotel,7,DOWNTOWN,47.60997,-122.34138,1.0,7,11.172545603517998,0,71150,15.492290994143676,4.900671607492004,4,0.0,1.0,0.5810260014054813,31,10164.285714285714,17787.5
NonResidential,Hotel,7,DOWNTOWN,47.61155,-122.34114,1.0,7,11.71839372460443,0,122810,15.502146057629343,5.425742654803275,3,0.0,1.0,0.7194853839263904,108,17544.285714285714,40936.666666666664
NonResidential,Hotel,7,LAKE UNION,47.61986,-122.34413,1.0,5,11.636672900400718,42546,70627,15.480258950081476,4.97528441679333,2,0.3759377236620042,0.6240622763379958,0.6240622763379958,57,14125.4,56586.5
NonResidential,Hotel,7,LAKE UNION,47.62001,-122.34274,1.0,7,11.92140602203885,34735,115718,15.719882235652989,5.298067335292827,1,0.23086944095498263,0.7691305590450174,0.714821239855636,16,16531.14285714286,150453.0
NonResidential,Hotel,7,LAKE UNION,47.62025,-122.34314,1.0,6,11.663928338506755,28200,88100,15.578115037574157,5.090000849476996,1,0.24247635425623387,0.7575236457437661,0.7608770421324161,19,14683.333333333334,116300.0
NonResidential,Hotel,7,MAGNOLIA / QUEEN ANNE,47.62023,-122.35951,1.0,6,11.95505674411426,36744,118858,15.737844970490881,5.028868062357315,1,0.23614092363851363,0.7638590763614863,1.0,18,19809.666666666668,155602.0
NonResidential,K-12 School,3,EAST,47.63442,-122.30793,1.0,3,10.934391858180161,0,56072,14.989473873254628,4.985932681455884,1,0.0,1.0,1.0,105,18690.666666666668,56072.0
NonResidential,Hotel,7,MAGNOLIA / QUEEN ANNE,47.62519,-122.34456,1.0,4,11.719467978426936,44891,78051,15.490236835332803,5.145399260123324,2,0.36513965935156417,0.6348603406484359,0.6348603406484359,17,19512.75,61471.0
NonResidential,Small- and Mid-Sized Office,3,CENTRAL,47.60823,-122.30956,1.0,2,10.91479751280144,0,54984,15.031968398853085,4.477109515920573,1,0.0,1.0,1.0,54,27492.0,54984.0
NonResidential,Senior Care Community,1,SOUTHWEST,47.55837,-122.37751,1.0,5,12.290427580633594,0,217603,17.571863409749295,7.4542047703858,2,0.0,1.0,1.3617137631374567,94,43520.6,108801.5
NonResidential,Senior Care Community,5,NORTHWEST,47.72426,-122.35599,1.0,2,11.444614503786731,0,93397,16.61294816107171,6.411982457842439,1,0.0,1.0,1.0,46,46698.5,93397.0
NonResidential,Hotel,7,LAKE UNION,47.61988,-122.33211,1.0,6,11.339797517144078,20732,63371,15.125490736190127,4.205587741038083,2,0.2465072589562798,0.7534927410437202,0.7534927410437202,8,10561.833333333334,42051.5
NonResidential,Medical Office,3,EAST,47.61244,-122.3214,0.0,3,12.095219294054973,0,179014,16.630982449044307,6.0657367914825695,1,0.0,1.0,1.0,51,59671.333333333336,179014.0
NonResidential,Hotel,3,EAST,47.60898,-122.32693,1.0,7,11.246756973598734,0,76631,15.797719366668227,5.571203009757061,1,0.0,1.0,1.0,108,10947.285714285714,76631.0
NonResidential,Mixed Use Property,3,EAST,47.60845,-122.32637,1.0,6,11.510723041415028,9341,90439,16.554614689002065,6.177881871449669,6,0.09361595510122268,0.9063840448987773,0.40262577670875926,33,15073.166666666666,16630.0
